,Car_name,Year,Distance,Fuel_type,Drive,Price
313,Maruti Celerio VXI,2018,69515,PETROL,MANUAL,459000
314,Maruti S PRESSO,2019,73084,PETROL,MANUAL,398000
315,Hyundai Grand i10,2016,114786,PETROL,MANUAL,412000
316,Honda City V,2014,77676,CNG,MANUAL,490000
317,Ford Ecosport TITANIUM,2018,57224,PETROL,AUTOMATIC,840000
318,Maruti Baleno ALPHA,2017,99026,PETROL,MANUAL,556000
319,Nissan MAGNITE XE,2022,24951,PETROL,MANUAL,575000
320,Tata Tiago XZA,2018,60237,PETROL,AUTOMATIC,459000
321,Hyundai Grand i10,2017,38401,PETROL,MANUAL,567000
322,Renault Kwid RXT,2019,16684,PETROL,AUTOMATIC,409999
323,Hyundai Grand i10,2018,54875,PETROL,MANUAL,484999
324,Maruti Baleno DELTA,2017,35241,PETROL,MANUAL,622000
325,Maruti Dzire VXI,2017,15103,PETROL,MANUAL,654000
326,Maruti Dzire ZXI,2020,51537,PETROL,MANUAL,667000
327,Honda Amaze 1.2L,2021,13420,PETROL,AUTOMATIC,881000
328,Maruti S PRESSO,2021,47006,PETROL,MANUAL,448000
329,Maruti Swift VXI,2015,66341,PETROL,MANUAL,559000
330,Maruti Celerio VXI,2014,47102,PETROL,AUTOMATIC,398000
331,Maruti Ciaz ALPHA,2019,66269,PETROL,AUTOMATIC,732000
332,Maruti Alto VXI,2022,8261,PETROL,MANUAL,438999
333,Hyundai Xcent S,2015,84386,CNG,MANUAL,334000
334,Hyundai Grand i10,2015,41625,PETROL,AUTOMATIC,531000
335,Hyundai Grand i10,2017,109662,CNG,MANUAL,451000
336,Maruti Alto K10,2014,36066,PETROL,MANUAL,281000
337,Hyundai Grand i10,2018,15057,PETROL,MANUAL,579000
338,Maruti Swift Dzire,2015,43488,PETROL,MANUAL,466000
339,Maruti Eeco 5,2019,35833,PETROL,MANUAL,443000
340,Maruti Alto K10,2022,25131,CNG,MANUAL,543000
341,Maruti Swift Dzire,2013,73474,PETROL,MANUAL,371000
342,Maruti Alto K10,2023,6675,PETROL,AUTOMATIC,658000
343,Hyundai Grand i10,2017,40354,PETROL,MANUAL,559000
344,Maruti Ciaz ALPHA,2019,55501,PETROL,MANUAL,803999
345,Hyundai Grand i10,2017,96921,PETROL,AUTOMATIC,551000
346,Maruti IGNIS ZETA,2017,58700,CNG,AUTOMATIC,498000
347,Toyota Innova 2.5,2015,120649,DIESEL,MANUAL,938000
348,Maruti Wagon R,2012,44383,PETROL,MANUAL,294000
349,Maruti Celerio VXI,2014,76296,PETROL,AUTOMATIC,330000
350,Maruti IGNIS ZETA,2017,22456,PETROL,AUTOMATIC,612000
351,Maruti Baleno DELTA,2016,14045,PETROL,MANUAL,533000
352,Renault Kwid RXT,2016,46732,PETROL,MANUAL,284000
353,Tata NEXON XZA,2022,13619,PETROL,AUTOMATIC,1329000
354,Tata TIGOR XZ,2020,45162,PETROL,MANUAL,715000
355,Hyundai VENUE SX,2022,22171,PETROL,MANUAL,1073000
356,Ford Ecosport TITANIUM,2018,80829,PETROL,AUTOMATIC,767000
357,Mahindra XUV500 W10,2017,57449,DIESEL,AUTOMATIC,1174000
358,KIA SELTOS HTE,2022,36166,DIESEL,MANUAL,1161000
359,Hyundai Grand i10,2015,35166,PETROL,MANUAL,476000
360,Maruti Alto LXI,2019,59040,PETROL,MANUAL,351000
361,Tata NEXON XM,2022,7895,PETROL,MANUAL,850000
362,Maruti S PRESSO,2021,31209,PETROL,MANUAL,504000
363,Hyundai Elite i20,2020,28435,PETROL,MANUAL,718000
364,Maruti Baleno ZETA,2016,29641,PETROL,MANUAL,695000
365,Maruti Swift VXI,2018,13881,PETROL,AUTOMATIC,539000
